Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Year-Range,Normalized Title
Call Me By Your Name,"Aciman, André",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,call me by your name
The Haters,"Andrews, Jesse",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,the haters
Red Hood,"Arnold, Elana K.",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,red hood
The Handmaid's Tale,"Atwood, Margaret",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,the handmaid's tale
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,Alaska,Matanuska-Susitna Borough School District,2023-2024,the handmaid's tale: the graphic novel
Forever...,"Blume, Judy",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,forever...
How Beautiful the Ordinary: Twelve Stories of Identity,"Cart, Michael",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,how beautiful the ordinary: twelve stories of identity
The Perks of Being a Wallflower,"Chbosky, Stephen",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,the perks of being a wallflower
Flamer,"Curato, Mike",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,flamer
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,extremely loud and incredibly close
The Carnival at Bray,"Foley, Jessie Ann",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,the carnival at bray
Water for Elephants,"Gruen, Sara",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,water for elephants
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,the freedom writers diary
Homegoing,"Gyasi, Yaa",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,homegoing
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health","Harris, Robie H.",,"Emberley, Michael",,Alaska,Matanuska-Susitna Borough School District,2023-2024,"it's perfectly normal: changing bodies, growing up, sex, and sexual health"
Sex: An Uncensored Introduction,"Hasler, Nikol",,"Capozzola, Michael",,Alaska,Matanuska-Susitna Borough School District,2023-2024,sex: an uncensored introduction
It Ends With Us,"Hoover, Colleen",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,it ends with us
Ugly Love,"Hoover, Colleen",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,ugly love
Verity,"Hoover, Colleen",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,verity
Crank,"Hopkins, Ellen",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,crank
Identical,"Hopkins, Ellen",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,identical
Perfect (EH),"Hopkins, Ellen",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,perfect
Tilt (EH),"Hopkins, Ellen",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,tilt
Tricks,"Hopkins, Ellen",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,tricks
I Never,"Hopper, Laura",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,i never
The Kite Runner,"Hosseini, Khaled",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,the kite runner
The Kite Runner Graphic Novel,"Hosseini, Khaled",,"Celoni, Fabio; Andolfo, Mirka",,Alaska,Matanuska-Susitna Borough School District,2023-2024,the kite runner graphic novel
Monday's Not Coming,"Jackson, Tiffany D.",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,monday's not coming
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,the duff: designated ugly fat friend
You: A Novel of Dark Obsession,"Kepnes, Caroline",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,you: a novel of dark obsession
Last Night at the Telegraph Club,"Lo, Malinda",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,last night at the telegraph club
A Court of Frost and Starlight,"Maas, Sarah J.",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,a court of frost and starlight
A Court of Mist and Fury,"Maas, Sarah J.",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,a court of mist and fury
A ​Court of Silver Flames,"Maas, Sarah J.",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,a ​court of silver flames
A Court of Thorns and Roses,"Maas, Sarah J.",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,a court of thorns and roses
A Court of Wings and Ruin,"Maas, Sarah J.",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,a court of wings and ruin
Empire of Storms,"Maas, Sarah J.",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,empire of storms
Kingdom of Ash,"Maas, Sarah J.",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,kingdom of ash
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,wicked: the life and times of the wicked witch of the west
Sold,"McCormick, Patricia",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,sold
"Red, White, and Royal Blue","McQuiston, Casey",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,"red, white, and royal blue"
The Bluest Eye,"Morrison, Toni",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,the bluest eye
Exit Here.,"Myers, Jason",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,exit here.
"l8r, g8r","Myracle, Lauren",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,"l8r, g8r"
Shine,"Myracle, Lauren",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,shine
yolo,"Myracle, Lauren",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,yolo
Breathless (JN),"Niven, Jennifer",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,breathless
Nineteen Minutes,"Picoult, Jodi",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,nineteen minutes
Persepolis 2: The Story of a Return,"Satrapi, Marjane",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,persepolis 2: the story of a return
Persepolis: The Story of a Childhood,"Satrapi, Marjane",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,persepolis: the story of a childhood
Living Dead Girl,"Scott, Elizabeth",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,living dead girl
Lucky (AS),"Sebold, Alice",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,lucky
The Lovely Bones,"Sebold, Alice",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,the lovely bones
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,Alaska,Matanuska-Susitna Borough School District,2023-2024,this one summer
Drama: A Graphic Novel,"Telgemeier, Raina",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,drama: a graphic novel
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,Alaska,Matanuska-Susitna Borough School District,2023-2024,slaughterhouse-five
This Book Is Gay,"Dawson, Juno",,,,California,Escondido Union School District,2023-2024,this book is gay
Looking for Alaska,"Green, John",,,,California,Escondido Union School District,2023-2024,looking for alaska
Thirteen Reasons Why,"Asher, Jay",,,,Florida,Alachua County Public Schools,2023-2024,thirteen reasons why
Clockwork Orange,"Burgess, Anthony",,,,Florida,Alachua County Public Schools,2023-2024,clockwork orange
Pet,"Emezi, Akwaeke",,,,Florida,Alachua County Public Schools,2023-2024,pet
Melissa (George),"Gino, Alex",,,,Florida,Alachua County Public Schools,2023-2024,melissa
Water for Elephants,"Gruen, Sara",,,,Florida,Alachua County Public Schools,2023-2024,water for elephants
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,Florida,Alachua County Public Schools,2023-2024,the freedom writers diary
Burned (EH),"Hopkins, Ellen",,,,Florida,Alachua County Public Schools,2023-2024,burned
Tricks,"Hopkins, Ellen",,,,Florida,Alachua County Public Schools,2023-2024,tricks
All Boys Aren't Blue,"Johnson, George M.",,,,Florida,Alachua County Public Schools,2023-2024,all boys aren't blue
The Sun and Her Flowers,"Kaur, Rupi",,,,Florida,Alachua County Public Schools,2023-2024,the sun and her flowers
The DUFF: Designated Ugly Fat Friend,"Keplinger, Kody",,,,Florida,Alachua County Public Schools,2023-2024,the duff: designated ugly fat friend
Gender Queer: A Memoir,"Kobabe, Maia",,,,Florida,Alachua County Public Schools,2023-2024,gender queer: a memoir
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",,,,Florida,Alachua County Public Schools,2023-2024,beyond magenta: transgender teens speak out
Last Night at the Telegraph Club,"Lo, Malinda",,,,Florida,Alachua County Public Schools,2023-2024,last night at the telegraph club
Empire of Storms,"Maas, Sarah J.",,,,Florida,Alachua County Public Schools,2023-2024,empire of storms
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",,,,Florida,Alachua County Public Schools,2023-2024,wicked: the life and times of the wicked witch of the west
Fade,"McMann, Lisa",,,,Florida,Alachua County Public Schools,2023-2024,fade
Haunted,"Palahniuk, Chuck",,,,Florida,Alachua County Public Schools,2023-2024,haunted
Nineteen Minutes,"Picoult, Jodi",,,,Florida,Alachua County Public Schools,2023-2024,nineteen minutes
Jesus Land: A Memoir,"Scheeres, Julia",,,,Florida,Alachua County Public Schools,2023-2024,jesus land: a memoir
Lucky (AS),"Sebold, Alice",,,,Florida,Alachua County Public Schools,2023-2024,lucky
The Almost Moon,"Sebold, Alice",,,,Florida,Alachua County Public Schools,2023-2024,the almost moon
It Feels Good to Be Yourself: A Book About Gender Identity,"Thorn, Theresa",,"Grigni, Noah",,Florida,Alachua County Public Schools,2023-2024,it feels good to be yourself: a book about gender identity
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,Florida,Alachua County Public Schools,2023-2024,slaughterhouse-five
Flowers in the Attic,"Andrews, V.C.",,,,Florida,Bay District Schools,2023-2024,flowers in the attic
Storm and Fury,"Armentrout, Jennifer L.",,,,Florida,Bay District Schools,2023-2024,storm and fury
Oryx and Crake,"Atwood, Margaret",,,,Florida,Bay District Schools,2023-2024,oryx and crake
The Handmaid's Tale,"Atwood, Margaret",,,,Florida,Bay District Schools,2023-2024,the handmaid's tale
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,Florida,Bay District Schools,2023-2024,the handmaid's tale: the graphic novel
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,Florida,Bay District Schools,2023-2024,fun home: a family tragicomic
Flamer,"Curato, Mike",,,,Florida,Bay District Schools,2023-2024,flamer
