Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Year-Range
Imaginary Girls,"Suma, Nova Ren",,,,Florida,Escambia County Public Schools,2023-2024
All the Rage,"Summers, Courtney",,,,Florida,Escambia County Public Schools,2023-2024
Sadie,"Summers, Courtney",,,,Florida,Escambia County Public Schools,2023-2024
The Project,"Summers, Courtney",,,,Florida,Escambia County Public Schools,2023-2024
"We Should Hang Out Sometime: Embarrassingly, A True Story","Sundquist, Josh",,,,Florida,Escambia County Public Schools,2023-2024
The Dangerous Art of Blending In,"Surmelis, Angelo",,,,Florida,Escambia County Public Schools,2023-2024
Perfume: The Story of a Murderer,"Süskind, Patrick",,,,Florida,Escambia County Public Schools,2023-2024
Headlock,"Sweeney, Joyce",,,,Florida,Escambia County Public Schools,2023-2024
What is Sexual Harrassment,"Swisher, Karin",,,,Florida,Escambia County Public Schools,2023-2024
Cane River,"Tademy, Lalita",,,,Florida,Escambia County Public Schools,2023-2024
My Absolute Darling,"Tallent, Gabriel",,,,Florida,Escambia County Public Schools,2023-2024
Calling My Name,"Tamani, Liara",,,,Florida,Escambia County Public Schools,2023-2024
Michelangelo Buonarotti,"Tames, Richard",,,,Florida,Escambia County Public Schools,2023-2024
Rebelwing,"Tang, Andrea",,,,Florida,Escambia County Public Schools,2023-2024
Fault Line,"Tashjian, Janet",,,,Florida,Escambia County Public Schools,2023-2024
The Secret of Gumbo Grove,"Tate, Eleanora E.",,,,Florida,Escambia County Public Schools,2023-2024
Daughter of Smoke and Bone,"Taylor, Laini",,,,Florida,Escambia County Public Schools,2023-2024
Muse of Nightmares,"Taylor, Laini",,,,Florida,Escambia County Public Schools,2023-2024
Strange the Dreamer,"Taylor, Laini",,,,Florida,Escambia County Public Schools,2023-2024
"All the Days Past, All the Days to Come","Taylor, Mildred D.",,,,Florida,Escambia County Public Schools,2023-2024
The Teen Vogue Handbook: An Insider's Guide to Careers in Fashion,Teen Vogue,,,,Florida,Escambia County Public Schools,2023-2024
That Weekend,"Thomas, Kara",,,,Florida,Escambia County Public Schools,2023-2024
Ripley's Believe It or Not!: Seeing Is Believing,"Tibbals, Geoff",,,,Florida,Escambia County Public Schools,2023-2024
Fearlessly Made You: Surviving and Thriving in a Perfectly Imperfect Life,"Tobias, Kristie",,,,Florida,Escambia County Public Schools,2023-2024
After (AT),"Todd, Anna",,,,Florida,Escambia County Public Schools,2023-2024
After We Collided,"Todd, Anna",,,,Florida,Escambia County Public Schools,2023-2024
After We Fell,"Todd, Anna",,,,Florida,Escambia County Public Schools,2023-2024
Before,"Todd, Anna",,,,Florida,Escambia County Public Schools,2023-2024
Once Upon a Time: Regina Rising,"Toliver, Wendy",,,,Florida,Escambia County Public Schools,2023-2024
The Fall of Innocence,"Torres Sanchez, Jenny",,,,Florida,Escambia County Public Schools,2023-2024
Learning to Swim: a memoir,"Turner, Ann",,,,Florida,Escambia County Public Schools,2023-2024
The Adventures of Tom Sawyer (Sterling),"Twain, Mark",,Robert Ingpen,,Florida,Escambia County Public Schools,2023-2024
Navigating Early,"Vanderpool, Clare",,,,Florida,Escambia County Public Schools,2023-2024
Marc Chagall,"Venezia, Mike",,,,Florida,Escambia County Public Schools,2023-2024
And She Was,"Verdi, Jessica",,,,Florida,Escambia County Public Schools,2023-2024
Tell Me If the Lovers Are Losers,"Voigt, Cynthia",,,,Florida,Escambia County Public Schools,2023-2024
When She Hollers,"Voigt, Cynthia",,,,Florida,Escambia County Public Schools,2023-2024
It Had To Be You,"Von Ziegesar, Cecily",,,,Florida,Escambia County Public Schools,2023-2024
Female Serial Killers: How and Why Women Become Monsters,"Vronsky, Peter",,,,Florida,Escambia County Public Schools,2023-2024
Serial Killers: The Method and Madness of Monsters,"Vronsky, Peter",,,,Florida,Escambia County Public Schools,2023-2024
"The Same River Twice: Honoring the Difficult: A Meditation on Life, Spirit and Art, and the Making of the Film The Color Purple Ten Years Later","Walker, Alice",,,,Florida,Escambia County Public Schools,2023-2024
Human Body: a visual encyclopedia,"Walker, Richard",,,,Florida,Escambia County Public Schools,2023-2024
Under the Microscope: The Human Body,"Walker, Richard",,,,Florida,Escambia County Public Schools,2023-2024
Deadfall,"Wallenfels, Stephen",,,,Florida,Escambia County Public Schools,2023-2024
Augustus Caesar,"Walworth, Nancy Zinsser",,,,Florida,Escambia County Public Schools,2023-2024
Beyoncé,"Waters, Rosa",,,,Florida,Escambia County Public Schools,2023-2024
What Momma Left Me,"Watson, Renée",,,,Florida,Escambia County Public Schools,2023-2024
Weegee's World,Weegee,,,,Florida,Escambia County Public Schools,2023-2024
Divine Secrets of the Ya-Ya Sisterhood,"Wells, Rebecca",,,,Florida,Escambia County Public Schools,2023-2024
Henri Matisse,"Welton, Jude",,,,Florida,Escambia County Public Schools,2023-2024
