Title,Author,sex or gender,Secondary Author(s),Illustrator(s),Translator(s),State,District,Year-Range
Call Me By Your Name,André Aciman,male,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Haters,Jesse Andrews,male,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Red Hood,Elana Arnold,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Handmaid's Tale,Margaret Atwood,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Handmaid's Tale: The Graphic Novel,Margaret Atwood,female,,"Nault, Renee",,Alaska,Matanuska-Susitna Borough School District,2023-2024
Forever...,Judy Blume,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
How Beautiful the Ordinary: Twelve Stories of Identity,Michael Cart,male,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Perks of Being a Wallflower,Stephen Chbosky,male,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Flamer,Mike Curato,male,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Extremely Loud and Incredibly Close,Jonathan Safran Foer,male,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Carnival at Bray,Jessie Ann Foley,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Water for Elephants,Sara Gruen,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Freedom Writers Diary,Erin Gruwell,female,The Freedom Writers,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Homegoing,Yaa Gyasi,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health",Robie Harris,female,,"Emberley, Michael",,Alaska,Matanuska-Susitna Borough School District,2023-2024
Sex: An Uncensored Introduction,Nikol Hasler,female,,"Capozzola, Michael",,Alaska,Matanuska-Susitna Borough School District,2023-2024
It Ends With Us,Colleen Hoover,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Ugly Love,Colleen Hoover,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Verity,Colleen Hoover,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Crank,Ellen Hopkins,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Identical,Ellen Hopkins,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Perfect (EH),Ellen Hopkins,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Tilt (EH),Ellen Hopkins,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Tricks,Ellen Hopkins,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
I Never,Laura Hopper,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Kite Runner,Khaled Hosseini,male,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Kite Runner Graphic Novel,Khaled Hosseini,male,,"Celoni, Fabio; Andolfo, Mirka",,Alaska,Matanuska-Susitna Borough School District,2023-2024
Monday's Not Coming,Tiffany D. Jackson,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The DUFF: Designated Ugly Fat Friend,Kody Keplinger,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
You: A Novel of Dark Obsession,Caroline Kepnes,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Last Night at the Telegraph Club,Malinda Lo,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
A Court of Frost and Starlight,Sarah J. Maas,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
A Court of Mist and Fury,Sarah J. Maas,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
A Court of Silver Flames,Sarah J. Maas,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
A Court of Thorns and Roses,Sarah J. Maas,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
A Court of Wings and Ruin,Sarah J. Maas,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Empire of Storms,Sarah J. Maas,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Kingdom of Ash,Sarah J. Maas,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Wicked,Gregory Maguire,male,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Sold,Patricia McCormick,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
"Red, White, and Royal Blue",Casey McQuiston,non-binary,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Bluest Eye,Toni Morrison,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Exit Here.,"Myers, Jason",,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
"L8r, g8r",Lauren Myracle,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Shine,Lauren Myracle,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
yolo,Lauren Myracle,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Breathless (JN),Jennifer Niven,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Nineteen Minutes,Jodi Picoult,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Persepolis 2: The Story of a Return,Marjane Satrapi,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Persepolis: The Story of a Childhood,Marjane Satrapi,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Living Dead Girl,Elizabeth Scott,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Lucky (AS),Alice Sebold,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
The Lovely Bones,Alice Sebold,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
This One Summer,Mariko Tamaki,female,,"Tamaki, Jillian",,Alaska,Matanuska-Susitna Borough School District,2023-2024
Drama: A Graphic Novel,Raina Telgemeier,female,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
Slaughterhouse-Five,Kurt Vonnegut,male,,,,Alaska,Matanuska-Susitna Borough School District,2023-2024
This Book is Gay,Juno Dawson,trans woman,,,,California,Escondido Union School District,2023-2024
Looking for Alaska,John Green,male,,,,California,Escondido Union School District,2023-2024
Thirteen Reasons Why,Jay Asher,male,,,,Florida,Alachua County Public Schools,2023-2024
A Clockwork Orange,Anthony Burgess,male,,,,Florida,Alachua County Public Schools,2023-2024
Pet,Akwaeke Emezi,non-binary,,,,Florida,Alachua County Public Schools,2023-2024
Melissa (George),Alex Gino,genderqueer,,,,Florida,Alachua County Public Schools,2023-2024
Water for Elephants,Sara Gruen,female,,,,Florida,Alachua County Public Schools,2023-2024
The Freedom Writers Diary,Erin Gruwell,female,The Freedom Writers,,,Florida,Alachua County Public Schools,2023-2024
Burned (EH),Ellen Hopkins,female,,,,Florida,Alachua County Public Schools,2023-2024
Tricks,Ellen Hopkins,female,,,,Florida,Alachua County Public Schools,2023-2024
All Boys Aren't Blue,George M. Johnson,non-binary,,,,Florida,Alachua County Public Schools,2023-2024
The Sun and Her Flowers,Rupi Kaur,female,,,,Florida,Alachua County Public Schools,2023-2024
The DUFF: Designated Ugly Fat Friend,Kody Keplinger,female,,,,Florida,Alachua County Public Schools,2023-2024
Gender Queer,Maia Kobabe,non-binary,,,,Florida,Alachua County Public Schools,2023-2024
Beyond Magenta: Transgender Teens Speak Out,Susan Kuklin,female,,,,Florida,Alachua County Public Schools,2023-2024
Last Night at the Telegraph Club,Malinda Lo,female,,,,Florida,Alachua County Public Schools,2023-2024
Empire of Storms,Sarah J. Maas,female,,,,Florida,Alachua County Public Schools,2023-2024
Wicked,Gregory Maguire,male,,,,Florida,Alachua County Public Schools,2023-2024
Fade,Lisa McMann,female,,,,Florida,Alachua County Public Schools,2023-2024
Haunted,Chuck Palahniuk,male,,,,Florida,Alachua County Public Schools,2023-2024
Nineteen Minutes,Jodi Picoult,female,,,,Florida,Alachua County Public Schools,2023-2024
Jesus Land: A Memoir,Julia Scheeres,female,,,,Florida,Alachua County Public Schools,2023-2024
Lucky (AS),Alice Sebold,female,,,,Florida,Alachua County Public Schools,2023-2024
The Almost Moon,Alice Sebold,female,,,,Florida,Alachua County Public Schools,2023-2024
It Feels Good to Be Yourself: A Book About Gender Identity,Theresa Thorn,female,,"Grigni, Noah",,Florida,Alachua County Public Schools,2023-2024
Slaughterhouse-Five,Kurt Vonnegut,male,,,,Florida,Alachua County Public Schools,2023-2024
Flowers in the Attic,V. C. Andrews,female,,,,Florida,Bay District Schools,2023-2024
Storm and Fury,Jennifer Armentrout,female,,,,Florida,Bay District Schools,2023-2024
Oryx and Crake,Margaret Atwood,female,,,,Florida,Bay District Schools,2023-2024
The Handmaid's Tale,Margaret Atwood,female,,,,Florida,Bay District Schools,2023-2024
The Handmaid's Tale: The Graphic Novel,Margaret Atwood,female,,"Nault, Renee",,Florida,Bay District Schools,2023-2024
Fun Home,Alison Bechdel,female,,,,Florida,Bay District Schools,2023-2024
Flamer,Mike Curato,male,,,,Florida,Bay District Schools,2023-2024
A Stolen Life,Jaycee Lee Dugard,female,,,,Florida,Bay District Schools,2023-2024
The Carnival at Bray,Jessie Ann Foley,female,,,,Florida,Bay District Schools,2023-2024
Wrecked,E.R. Frank,female,,,,Florida,Bay District Schools,2023-2024
Friction,E.R. Frank,female,,,,Florida,Bay District Schools,2023-2024
It Ends With Us,Colleen Hoover,female,,,,Florida,Bay District Schools,2023-2024
