"Author","Gender"
"Aciman, André","male"
"Andrews, Jesse","male"
"Arnold, Elana K.","female"
"Atwood, Margaret","female"
"Blume, Judy","female"
"Cart, Michael","male"
"Chbosky, Stephen","male"
"Curato, Mike","male"
"Foer, Jonathan Safran","male"
"Foley, Jessie Ann","female"
"Gruen, Sara","female"
"Gruwell, Erin","female"
"Gyasi, Yaa","female"
"Harris, Robie H.","female"
"Hasler, Nikol","female"
"Hoover, Colleen","female"
"Hopkins, Ellen","female"
"Hopper, Laura","female"
"Hosseini, Khaled","male"
"Jackson, Tiffany D.","female"
"Keplinger, Kody","female"
"Kepnes, Caroline","female"
"Lo, Malinda","female"
"Maas, Sarah J.","female"
"Maguire, Gregory","male"
"McCormick, Patricia","female"
"McQuiston, Casey","non-binary"
"Morrison, Toni","female"
"Myers, Jason","male"
"Myracle, Lauren","female"
"Picoult, Jodi","female"
"Satrapi, Marjane","female"
"Scott, Elizabeth","female"
"Sebold, Alice","female"
"Tamaki, Mariko","female"
"Telgemeier, Raina","female"
"Vonnegut Jr., Kurt","male"
"Dawson, Juno","trans woman"
"Green, John","male"
"Asher, Jay","male"
"Burgess, Anthony","male"
"Emezi, Akwaeke","non-binary/trans"
"Gino, Alex","non-binary"
"Johnson, George M.","non-binary"
"Kaur, Rupi","female"
"Kobabe, Maia","non-binary"
"Kuklin, Susan","female"
"McMann, Lisa","female"
"Palahniuk, Chuck","male"
"Scheeres, Julia","female"
"Thorn, Theresa","female"
"Andrews, V.C.","female"
"Armentrout, Jennifer L.","female"
"Bechdel, Alison","female"
"Dugard, Jaycee","female"
"Frank, E. R.","female"
"Frank, E.R.","female"
"Lukoff, Kyle","trans man"
"Lyga, Barry","male"
"Niven, Jennifer","female"
"Reed, Amy","female"
"Reynolds, Jason","male"
"Rivera, Gabby","female"
"Rooney, Sally","female"
"Cokal, Susann","female"
"Grimes, Nikki","female"
"Harusono, Shou","female"
"McCullough, Joy","female"
"McIntosh, Kenneth","male"
"Steinbeck, John","male"
"Wooten, Sara McIntosh","female"
"Mathabane, Mark","male"
"Rosen, L. C.","female"
"Yang, Kelly","female"
"Acevedo, Elizabeth","female"
"Alexie, Sherman","male"
"Anderson, Laurie Halse","female"
"Angelou, Maya","female"
"Bayron, Kalynn","female"
"Cashore, Kristin","female"
"Duncan, Lois","female"
"Flinn, Alex","female"
"Gilbert, Kelly Loy","female"
"Gratz, Alan","male"
"Hannah, Kristin","female"
"Jennings, Jazz","trans woman"
"Katcher, Brian","male"
"Levithan, David","male"
"Lockhart, E.","female"
"Mafi, Tahereh","female"
"Mathieu, Jennifer","female"
"McEwan, Ian","male"
"Nicholas, Sydney","female"
"Owens, Delia","female"
"Rand, Ayn","female"
"Richardson, Justin","male"
"Riordan, Rick","male"
"Rowell, Rainbow","female"
"Sánchez, Erika L.","female"
"Shepard, Sara","female"
"Silvera, Adam","male"
"Slater, Dashka","female"
"Sparks, Beatrice","female"
"Stine, Megan","female"
"Stockett, Kathryn","female"
"Stone, Nic","female"
"Suma, Nova Ren","female"
"Thomas, Angie","female"
"Walls, Jeannette","female"
"Yoon, Nicola","female"
"Acito, Marc","male"
"Adams, S.J.","male"
"Ahdieh, Renée","female"
"Albertalli, Becky","female"
"Alphin, Elaine Marie","female"
"Alvarez, Julia","female"
"Anaya, Rudolfo","male"
"Ancrum, K.","non-binary"
"Applegate, Katherine","female"
"Arlow, Jake Maia","non-binary"
"Auel, Jean M.","female"
